Informant;Acceptabelt första person;Oacceptabelt första person;Acceptabelt tredje person;Oacceptabelt tredje person;Acceptabelt;Oacceptabelt;Summa;Språknivå
060;3;0;0;0;3;0;3;1
156;0;0;2;0;2;0;2;2
152;2;0;0;0;2;0;2;3
157;4;0;0;0;4;0;4;4
029;6;0;0;0;6;0;6;5
127;4;0;0;0;4;0;4;6
028;5;0;1;0;6;0;6;7
059;11;0;1;0;12;0;12;8
058;2;0;1;0;3;0;3;9
162;0;0;1;0;1;0;1;10
022;0;0;1;1;1;1;2;11
062;3;0;0;0;3;0;3;12
155;0;0;3;0;3;0;3;13
027;8;2;0;0;8;2;10;14
061;0;0;4;0;4;0;4;15
001;0;0;1;0;1;0;1;16
137;2;0;2;0;4;0;4;17
164;1;0;0;0;1;0;1;18
139;3;0;3;0;6;0;6;19
131;1;1;2;0;3;1;4;20
133;2;0;0;0;2;0;2;21
141;5;0;1;0;6;0;6;22
p32;0;0;2;0;2;0;2;23
p29;0;1;0;0;0;1;1;24
057;3;0;1;0;4;0;4;25
138;2;0;2;0;4;0;4;26
063;5;0;0;0;5;0;5;27
129;1;0;5;0;6;0;6;28
134;1;0;1;0;2;0;2;29
140;1;0;1;0;2;0;2;30
125;3;0;1;0;4;0;4;31
136;3;0;1;1;4;1;5;32
p34;3;2;0;0;3;2;5;33
p33;1;0;0;0;1;0;1;34
005;0;2;0;0;0;2;2;35
126;5;1;0;0;5;1;6;36
p20;6;0;1;0;7;0;7;37
p30;2;0;1;0;3;0;3;38
132;2;0;5;0;7;0;7;39
135;6;0;3;0;9;0;9;40
014;2;0;0;0;2;0;2;41
128;1;2;1;0;2;2;4;42
p23;13;0;1;0;14;0;14;43
p24;6;0;1;0;7;0;7;43
p11;4;2;2;0;6;2;8;45
066;0;2;0;0;0;2;2;46
p31;1;0;0;0;1;0;1;47
036;2;0;0;0;2;0;2;48
p28;0;0;1;0;1;0;1;49
033;2;0;0;0;2;0;2;50
023;7;0;3;0;10;0;10;51
161;0;1;0;0;0;1;1;52
013;1;1;0;1;1;2;3;53
037;1;0;0;0;1;0;1;54
038;2;0;1;0;3;0;3;55
008;1;0;0;2;1;2;3;56
p17;4;0;2;0;6;0;6;57
064;0;1;1;0;1;1;2;58
040;2;2;0;0;2;2;4;59
021;0;0;0;1;0;1;1;60
p05;12;0;0;0;12;0;12;61
p09;1;1;0;0;1;1;2;62
034;0;0;4;0;4;0;4;63
p12;6;1;1;2;7;3;10;64
006;1;0;0;0;1;0;1;65
047;1;0;1;1;2;1;3;66
116;0;0;1;0;1;0;1;67
035;1;0;0;0;1;0;1;68
044;8;0;0;0;8;0;8;69
007;0;0;0;1;0;1;1;70
053;1;0;1;0;2;0;2;71
055;0;0;1;0;1;0;1;72
p19;3;2;0;0;3;2;5;73
102;1;0;1;0;2;0;2;74
052;3;0;0;1;3;1;4;75
p15;5;4;0;0;5;4;9;76
048;1;1;0;0;1;1;2;77
071;0;0;1;0;1;0;1;78
p03;7;3;1;1;8;4;12;79
083;0;2;0;0;0;2;2;80
069;0;0;1;1;1;1;2;81
p22;3;1;3;0;6;1;7;82
p06;7;3;0;0;7;3;10;83
110;0;0;1;0;1;0;1;84
049;0;0;1;0;1;0;1;85
090;0;0;0;1;0;1;1;86
p10;3;0;1;0;4;0;4;87
p18;3;1;0;0;3;1;4;88
070;0;0;1;0;1;0;1;89
p07;5;1;0;1;5;2;7;90
115;1;0;0;0;1;0;1;91
p36;5;0;1;0;6;0;6;92
p16;3;2;2;1;5;3;8;93
p14;7;0;0;0;7;0;7;94
p04;11;1;0;0;11;1;12;95
100;1;0;1;0;2;0;2;96
p35;3;3;0;1;3;4;7;97
109;1;1;0;0;1;1;2;98
016;0;0;2;0;2;0;2;99
046;1;0;0;0;1;0;1;100
065;0;0;1;0;1;0;1;101
p08;1;0;1;0;2;0;2;102
054;1;0;0;0;1;0;1;103
119;1;0;0;0;1;0;1;104
p01;5;1;0;2;5;3;8;105
p25;5;1;1;1;6;2;8;106
025;1;0;0;0;1;0;1;107
085;0;0;1;0;1;0;1;108
p13;10;1;0;0;10;1;11;109
107;0;1;0;0;0;1;1;110
p21;3;0;1;1;4;1;5;111
026;1;0;0;0;1;0;1;112
050;0;1;0;0;0;1;1;113
p02;6;0;0;0;6;0;6;114
042;1;0;0;0;1;0;1;115
067;0;0;1;0;1;0;1;116
024;1;1;0;0;1;1;2;117
