Informant;Text;Kön;Nationalitet;Modersmål;Mentalt verb;Skrivsystem;Kategori;Person;Acceptabilitet
001;001_a;-;-;-;hoshii;Kana;Psykologiskt;Tredje;Ja
005;005_a;-;Kina;Mandarin;tai;Kanji;Psykologiskt;Första;Nej
005;005_b;-;Kina;Mandarin;tai;Kanji;Psykologiskt;Första;Nej
006;006_a;-;Kina;Mandarin;tai;Kana;Psykologiskt;Första;Ja
007;007_a;-;Kina;Mandarin;kowai;Kanji;Psykologiskt;Tredje;Nej
008;008_a;-;Vietnam;Vietnamesiska;tai;Kanji;Psykologiskt;Första;Ja
008;008_a;-;Vietnam;Vietnamesiska;tai;Kanji;Psykologiskt;Tredje;Nej
008;008_a;-;Vietnam;Vietnamesiska;tai;Kanji;Psykologiskt;Tredje;Nej
013;013_a;-;Sydkorea;Koreanska;tai;Kanji;Psykologiskt;Första;Ja
013;013_b;-;Sydkorea;Koreanska;tai;Kanji;Psykologiskt;Första;Nej
013;013_b;-;Sydkorea;Koreanska;tai;Kanji;Psykologiskt;Tredje;Nej
014;014_b;-;Sydkorea;Koreanska;urayamashii;Kanji;Psykologiskt;Första;Ja
014;014_b;-;Sydkorea;Koreanska;omoshiroi;Kanji;Psykologiskt;Första;Ja
016;016_a;-;Vietnam;Vietnamesiska;tai;Kana;Psykologiskt;Tredje;Ja
016;016_a;-;Vietnam;Vietnamesiska;tai;Kanji;Psykologiskt;Tredje;Ja
021;021_a;-;Kina;Mandarin;kowai;Kanji;Psykologiskt;Tredje;Nej
022;022_a;-;Vietnam;Vietnamesiska;tai;Kanji;Psykologiskt;Tredje;Ja
022;022_a;-;Vietnam;Vietnamesiska;hoshii;Kanji;Psykologiskt;Tredje;Nej
023;023_a;-;Vietnam;Vietnamesiska;tai;Kanji;Psykologiskt;Första;Ja
023;023_a;-;Vietnam;Vietnamesiska;tai;Kanji;Psykologiskt;Första;Ja
023;023_a;-;Vietnam;Vietnamesiska;tai;Kanji;Psykologiskt;Första;Ja
023;023_a;-;Vietnam;Vietnamesiska;tai;Kanji;Psykologiskt;Första;Ja
023;023_b;-;Vietnam;Vietnamesiska;tai;Kanji;Psykologiskt;Första;Ja
023;023_b;-;Vietnam;Vietnamesiska;tai;Kanji;Psykologiskt;Första;Ja
023;023_b;-;Vietnam;Vietnamesiska;tai;Kana;Psykologiskt;Första;Ja
023;023_a;-;Vietnam;Vietnamesiska;tai;Kanji;Psykologiskt;Tredje;Ja
