Informant;Textlängd;Antal fel;Beräknad språknivå;Uppskattad språknivå
001;1235;10;4.706;16
005;1827;34;1.463;35
006;658;26;0.686;65
007;969;74;0.636;70
008;864;35;0.819;56
013;2543;136;0.915;53
014;1463;35;1.181;41
016;473;12;0.348;99
021;1702;99;0.781;60
022;1206;5;7.900;11
023;2176;74;0.931;51
024;319;46;0.034;117
025;475;21;0.244;107
026;384;18;0.137;112
027;1450;9;5.419;14
028;1758;3;14.923;7
029;1719;2;18.200;5
033;888;32;0.968;50
034;987;67;0.702;63
035;937;61;0.643;68
036;1687;47;0.989;48
037;1188;46;0.891;54
038;1504;65;0.856;55
040;1124;59;0.784;59
042;383;28;0.072;115
044;800;45;0.639;69
046;552;34;0.328;100
047;973;71;0.673;66
048;751;58;0.542;77
049;638;36;0.450;85
050;484;48;0.133;113
052;557;21;0.561;75
053;813;51;0.615;71
054;506;29;0.274;103
055;939;71;0.607;72
057;1709;14;3.158;25
058;1720;5;9.200;9
059;1752;5;9.600;8
060;1750;0;38.000;1
061;1838;11;5.077;15
062;1731;7;7.440;12
063;1739;17;2.725;27
064;1314;67;0.795;58
065;602;65;0.279;101
066;963;34;1.015;46
067;196;11;0.051;116
069;807;100;0.478;81
070;616;40;0.397;89
071;860;95;0.518;78
083;855;114;0.491;80
085;507;41;0.214;108
090;691;57;0.441;86
100;663;69;0.365;96
102;737;45;0.568;74
107;490;45;0.166;110
109;680;98;0.354;98
110;747;90;0.450;84
115;691;72;0.388;91
116;1007;75;0.673;67
119;600;63;0.263;104
125;4870;27;2.167;31
126;3452;41;1.409;36
127;2026;3;15.385;6
128;2461;57;1.117;42
129;3437;21;2.707;28
131;781;8;3.786;20
132;3252;45;1.302;39
133;4869;16;3.569;21
134;2463;23;2.330;29
135;3777;53;1.228;40
136;2983;26;2.057;32
137;2324;12;4.522;17
138;3074;18;2.986;26
139;3866;14;4.000;19
140;2321;23;2.264;30
141;3897;16;3.538;22
152;943;0;26.400;3
155;2280;9;6.581;13
156;1173;0;30.800;2
157;866;0;24.000;4
161;962;35;0.931;52
162;971;4;8.750;10
164;1359;11;4.256;18
p01;549;44;0.256;105
p02;413;34;0.090;114
p03;579;25;0.495;79
p04;505;21;0.366;95
p05;712;29;0.752;61
p06;601;29;0.462;83
p07;662;57;0.394;90
p08;435;13;0.275;102
p09;714;30;0.738;62
p10;613;35;0.417;87
p11;628;15;1.032;45
p12;715;34;0.687;64
p13;474;25;0.178;109
p14;488;17;0.377;94
p15;698;38;0.558;76
p16;558;32;0.381;93
p17;636;21;0.805;57
p18;530;24;0.412;88
p19;647;29;0.598;73
p20;664;14;1.368;37
p21;316;7;0.160;111
p22;516;19;0.474;82
p23;747;23;1.099;43
p24;747;23;1.099;43
p25;522;36;0.252;106
p28;916;32;0.984;49
p29;1314;13;3.196;24
p30;1033;28;1.351;38
p31;988;35;1.014;47
p32;941;11;3.333;23
p33;1537;24;1.794;34
p34;727;12;2.043;33
p35;606;43;0.358;97
p36;477;14;0.386;92
